code,name,dm
sw_yx,A股-申万行业-银行,000001.SZ
sw2_480300,A股-申万二级-股份制银行Ⅱ,000001.SZ
chgn_701320,A股-热门概念-长期破净,000001.SZ
chgn_701319,A股-热门概念-破净股,000001.SZ
chgn_701315,A股-热门概念-低市盈率,000001.SZ
chgn_700013,A股-热门概念-基金重仓,000001.SZ
chgn_700532,A股-热门概念-MSCI中国,000001.SZ
chgn_700231,A股-热门概念-区块链,000001.SZ
chgn_700095,A股-热门概念-融资融券,000001.SZ
chgn_700216,A股-热门概念-证金汇金,000001.SZ
chgn_700014,A股-热门概念-大盘,000001.SZ
gn_rzrq,A股-概念板块-融资融券,000001.SZ
gn_wzbj,A股-概念板块-外资背景,000001.SZ
gn_byjj,A股-概念板块-本月解禁,000001.SZ
gn_sbzc,A股-概念板块-社保重仓,000001.SZ
gn_bxzc,A股-概念板块-保险重仓,000001.SZ
gn_qszc,A股-概念板块-券商重仓,000001.SZ
gn_szbd,A股-概念板块-深圳本地,000001.SZ
gn_jjzc,A股-概念板块-基金重仓,000001.SZ
diyu_440000,A股-地域板块-广东省,000001.SZ
hangye_ZJ66,A股-证监会行业-金融业-货币金融服务,000001.SZ
sz_a,A股-分类-深市A股,000001.SZ
hs_a,A股-分类-沪深A股,000001.SZ
hs_s,A股-分类-所有指数,000001.SZ
zhishu_399106,A股-指数成分-深市-深证综指,000001.SZ
zhishu_399001,A股-指数成分-深市-深证成指,000001.SZ
zhishu_399190,A股-指数成分-深市-金融指数,000001.SZ
hs300,A股-指数成分-跨市场-沪深300,000001.SZ
dpzs,A股-大盘指数,000001.SZ
open_fund,基金-开放式基金,000001.SZ
sw_fdc,A股-申万行业-房地产,000002.SZ
sw2_430100,A股-申万二级-房地产开发,000002.SZ
chgn_701320,A股-热门概念-长期破净,000002.SZ
chgn_701319,A股-热门概念-破净股,000002.SZ
chgn_701318,A股-热门概念-陆股通活跃,000002.SZ
chgn_700078,A股-热门概念-增持回购,000002.SZ
chgn_700013,A股-热门概念-基金重仓,000002.SZ
chgn_730422,A股-热门概念-REITs概念,000002.SZ
chgn_700808,A股-热门概念-分拆概念,000002.SZ
chgn_700173,A股-热门概念-冷链物流,000002.SZ
chgn_700785,A股-热门概念-快递概念,000002.SZ
chgn_700748,A股-热门概念-冰雪产业,000002.SZ
chgn_700532,A股-热门概念-MSCI中国,000002.SZ
chgn_700544,A股-热门概念-房屋租赁,000002.SZ
chgn_700095,A股-热门概念-融资融券,000002.SZ
chgn_700002,A股-热门概念-H股,000002.SZ
chgn_700216,A股-热门概念-证金汇金,000002.SZ
chgn_700014,A股-热门概念-大盘,000002.SZ
gn_hHg,A股-概念板块-含H股,000002.SZ
gn_rzrq,A股-概念板块-融资融券,000002.SZ
gn_qhgn,A股-概念板块-前海概念,000002.SZ
gn_bxzc,A股-概念板块-保险重仓,000002.SZ
gn_QFIIzc,A股-概念板块-QFII重仓,000002.SZ
gn_szbd,A股-概念板块-深圳本地,000002.SZ
gn_jjzc,A股-概念板块-基金重仓,000002.SZ
gn_gqjl,A股-概念板块-股权激励,000002.SZ
diyu_440000,A股-地域板块-广东省,000002.SZ
hangye_ZK70,A股-证监会行业-房地产业-房地产业,000002.SZ
sz_a,A股-分类-深市A股,000002.SZ
hs_a,A股-分类-沪深A股,000002.SZ
hs_s,A股-分类-所有指数,000002.SZ
zhishu_399106,A股-指数成分-深市-深证综指,000002.SZ
zhishu_399001,A股-指数成分-深市-深证成指,000002.SZ
zhishu_399200,A股-指数成分-深市-地产指数,000002.SZ
hs300,A股-指数成分-跨市场-沪深300,000002.SZ
dpzs,A股-大盘指数,000002.SZ
aplush,香港股市-A+H,000002.SZ
sw_jsj,A股-申万行业-计算机,000004.SZ
sw2_710400,A股-申万二级-软件开发,000004.SZ
chgn_730364,A股-热门概念-壳资源,000004.SZ
chgn_701304,A股-热门概念-一体机概念,000004.SZ
chgn_701262,A股-热门概念-微盘股,000004.SZ
chgn_700812,A股-热门概念-QFII持股,000004.SZ
chgn_799998,A股-热门概念-退市警示,000004.SZ
chgn_700971,A股-热门概念-华为鸿蒙,000004.SZ
chgn_700900,A股-热门概念-信创概念,000004.SZ
chgn_700894,A股-热门概念-RCS概念,000004.SZ
chgn_700810,A股-热门概念-车联网（车路云）,000004.SZ
chgn_700690,A股-热门概念-电力物联网,000004.SZ
chgn_700649,A股-热门概念-华为概念,000004.SZ
chgn_730011,A股-热门概念-深ST板,000004.SZ
chgn_700613,A股-热门概念-ST板块,000004.SZ
chgn_700136,A股-热门概念-5G,000004.SZ
chgn_700231,A股-热门概念-区块链,000004.SZ
chgn_700016,A股-热门概念-小盘,000004.SZ
chgn_700230,A股-热门概念-人工智能,000004.SZ
chgn_700133,A股-热门概念-手游,000004.SZ
chgn_700069,A股-热门概念-物联网,000004.SZ
chgn_700021,A股-热门概念-网络游戏,000004.SZ
chgn_700135,A股-热门概念-网络安全,000004.SZ
gn_hwhm,A股-概念板块-华为鸿蒙,000004.SZ
gn_szbd,A股-概念板块-深圳本地,000004.SZ
diyu_440000,A股-地域板块-广东省,000004.SZ
hangye_ZI65,A股-证监会行业-信息传输、软件和信息技术服务业-软件和信息技术服务业,000004.SZ
sz_a,A股-分类-深市A股,000004.SZ
hs_a,A股-分类-沪深A股,000004.SZ
hs_s,A股-分类-所有指数,000004.SZ
zhishu_399106,A股-指数成分-深市-深证综指,000004.SZ
zhishu_399130,A股-指数成分-深市-制造指数,000004.SZ
zhishu_399139,A股-指数成分-深市-医药指数,000004.SZ
open_fund,基金-开放式基金,000004.SZ
sw_fdc,A股-申万行业-房地产,000006.SZ
sw2_430100,A股-申万二级-房地产开发,000006.SZ
chgn_701318,A股-热门概念-陆股通活跃,000006.SZ
chgn_701066,A股-热门概念-新型城镇化,000006.SZ
chgn_700605,A股-热门概念-深圳国资,000006.SZ
chgn_730376,A股-热门概念-广东国资,000006.SZ
chgn_730318,A股-热门概念-深汕合作区,000006.SZ
chgn_700338,A股-热门概念-国资改革,000006.SZ
chgn_700016,A股-热门概念-小盘,000006.SZ
chgn_700095,A股-热门概念-融资融券,000006.SZ
chgn_700303,A股-热门概念-粤港澳,000006.SZ
chgn_700216,A股-热门概念-证金汇金,000006.SZ
gn_qhgn,A股-概念板块-前海概念,000006.SZ
gn_szbd,A股-概念板块-深圳本地,000006.SZ
diyu_440000,A股-地域板块-广东省,000006.SZ
hangye_ZK70,A股-证监会行业-房地产业-房地产业,000006.SZ
sz_a,A股-分类-深市A股,000006.SZ
hs_a,A股-分类-沪深A股,000006.SZ
hs_s,A股-分类-所有指数,000006.SZ
zhishu_399106,A股-指数成分-深市-深证综指,000006.SZ
zhishu_399200,A股-指数成分-深市-地产指数,000006.SZ
open_fund,基金-开放式基金,000006.SZ
sw_smls,A股-申万行业-商贸零售,000007.SZ
sw2_450300,A股-申万二级-一般零售,000007.SZ
chgn_701262,A股-热门概念-微盘股,000007.SZ
chgn_700680,A股-热门概念-金融科技,000007.SZ
chgn_700544,A股-热门概念-房屋租赁,000007.SZ
chgn_700016,A股-热门概念-小盘,000007.SZ
gn_xqzy,A股-概念板块-稀缺资源,000007.SZ
gn_skgn,A股-概念板块-涉矿概念,000007.SZ
gn_yjyj,A股-概念板块-业绩预降,000007.SZ
gn_szbd,A股-概念板块-深圳本地,000007.SZ
diyu_440000,A股-地域板块-广东省,000007.SZ
hangye_ZF52,A股-证监会行业-批发和零售业-零售业,000007.SZ
sz_a,A股-分类-深市A股,000007.SZ
hs_a,A股-分类-沪深A股,000007.SZ
hs_s,A股-分类-所有指数,000007.SZ
zhishu_399106,A股-指数成分-深市-深证综指,000007.SZ
zhishu_399210,A股-指数成分-深市-服务指数,000007.SZ
sw_jxsb,A股-申万行业-机械设备,000008.SZ
sw2_640500,A股-申万二级-轨交设备Ⅱ,000008.SZ
chgn_730073,A股-热门概念-磁悬浮,000008.SZ
chgn_701318,A股-热门概念-陆股通活跃,000008.SZ
chgn_700019,A股-热门概念-低价,000008.SZ
chgn_701217,A股-热门概念-新型工业化,000008.SZ
chgn_730541,A股-热门概念-PPP概念,000008.SZ
chgn_701012,A股-热门概念-职业教育,000008.SZ
chgn_700783,A股-热门概念-轨道交通,000008.SZ
chgn_700665,A股-热门概念-新基建,000008.SZ
chgn_700656,A股-热门概念-高铁,000008.SZ
chgn_700623,A股-热门概念-腾讯概念,000008.SZ
chgn_700016,A股-热门概念-小盘,000008.SZ
chgn_700095,A股-热门概念-融资融券,000008.SZ
chgn_700034,A股-热门概念-铁路基建,000008.SZ
chgn_700200,A股-热门概念-央企改革,000008.SZ
chgn_700215,A股-热门概念-一带一路,000008.SZ
chgn_700124,A股-热门概念-机器人概念,000008.SZ
chgn_700131,A股-热门概念-智慧城市,000008.SZ
chgn_700210,A股-热门概念-工业4.0,000008.SZ
gn_yjys,A股-概念板块-业绩预升,000008.SZ
gn_szbd,A股-概念板块-深圳本地,000008.SZ
diyu_110000,A股-地域板块-北京市,000008.SZ
hangye_ZC37,A股-证监会行业-制造业-铁路、船舶、航空航天和其他运输设备制造业,000008.SZ
sz_a,A股-分类-深市A股,000008.SZ
hs_a,A股-分类-沪深A股,000008.SZ
hs_s,A股-分类-所有指数,000008.SZ
zhishu_399106,A股-指数成分-深市-深证综指,000008.SZ
zhishu_399180,A股-指数成分-深市-批零指数,000008.SZ
dpzs,A股-大盘指数,000008.SZ
open_fund,基金-开放式基金,000008.SZ
sw_dlsb,A股-申万行业-电力设备,000009.SZ
sw2_630700,A股-申万二级-电池,000009.SZ
chgn_730023,A股-热门概念-土地流转,000009.SZ
chgn_730417,A股-热门概念-参股新三板,000009.SZ
chgn_701318,A股-热门概念-陆股通活跃,000009.SZ
chgn_701109,A股-热门概念-4680电池,000009.SZ
chgn_701072,A股-热门概念-比亚迪概念,000009.SZ
chgn_700995,A股-热门概念-小鹏汽车概念,000009.SZ
chgn_700956,A股-热门概念-固态电池,000009.SZ
chgn_700940,A股-热门概念-快充概念,000009.SZ
chgn_700935,A股-热门概念-宁德时代概念,000009.SZ
chgn_700877,A股-热门概念-磷酸铁锂,000009.SZ
chgn_700808,A股-热门概念-分拆概念,000009.SZ
chgn_700681,A股-热门概念-3D打印,000009.SZ
chgn_730200,A股-热门概念-三元锂电,000009.SZ
chgn_730190,A股-热门概念-超级电容,000009.SZ
chgn_730141,A股-热门概念-生物医药,000009.SZ
